"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "CSS", "TypeScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\omnora OS\frontend\src\pages\AdminUsers.css", "CSS", 0, 0, 0, 0, 225, 0, 0, 0, 0, 32, 257
"c:\omnora OS\frontend\src\pages\AdminUsers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 175, 0, 0, 1, 18, 194
"c:\omnora OS\frontend\src\pages\AuthCallback.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 2, 12, 79
"c:\omnora OS\frontend\src\pages\Cart.css", "CSS", 0, 0, 0, 0, 222, 0, 0, 0, 0, 36, 258
"c:\omnora OS\frontend\src\pages\Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 180, 0, 0, 1, 173, 354
"c:\omnora OS\frontend\src\pages\Checkout.css", "CSS", 0, 0, 0, 0, 278, 0, 0, 0, 0, 39, 317
"c:\omnora OS\frontend\src\pages\Checkout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 494, 0, 0, 11, 45, 550
"c:\omnora OS\frontend\src\pages\Collection.css", "CSS", 0, 0, 0, 0, 554, 0, 0, 0, 0, 91, 645
"c:\omnora OS\frontend\src\pages\Collection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 197, 0, 0, 5, 16, 218
"c:\omnora OS\frontend\src\pages\Contact.css", "CSS", 0, 0, 0, 0, 136, 0, 0, 0, 0, 22, 158
"c:\omnora OS\frontend\src\pages\CustomPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 3, 7, 62
"c:\omnora OS\frontend\src\pages\FAQ.css", "CSS", 0, 0, 0, 0, 148, 0, 0, 0, 0, 25, 173
"c:\omnora OS\frontend\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 3, 10, 98
"c:\omnora OS\frontend\src\pages\HomeWithAds.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 3, 4, 23
"c:\omnora OS\frontend\src\pages\LegalPages.css", "CSS", 0, 0, 0, 0, 94, 0, 0, 0, 0, 16, 110
"c:\omnora OS\frontend\src\pages\Login.css", "CSS", 0, 0, 0, 0, 215, 0, 0, 0, 0, 31, 246
"c:\omnora OS\frontend\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 167, 0, 0, 4, 23, 194
"c:\omnora OS\frontend\src\pages\NotFound.css", "CSS", 0, 0, 0, 0, 42, 0, 0, 0, 0, 7, 49
"c:\omnora OS\frontend\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\omnora OS\frontend\src\pages\OmnoraCollection.css", "CSS", 0, 0, 0, 0, 348, 0, 0, 0, 0, 56, 404
"c:\omnora OS\frontend\src\pages\OmnoraContact.css", "CSS", 0, 0, 0, 0, 201, 0, 0, 0, 0, 36, 237
"c:\omnora OS\frontend\src\pages\OmnoraContact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 163, 0, 0, 5, 20, 188
